device,ecommerce,event_name,event_previous_timestamp,event_timestamp,geo,items,traffic_source,user_first_touch_timestamp,user_id
Linux,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593878036347579,"{""city"":""Lyndhurst"",""state"":""OH""}",[],direct,1593878036347579,UA000000107371743
Android,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",down,1593879057792999,1593879125815755,"{""city"":""Jackson"",""state"":""MO""}",[],facebook,1593879057792999,UA000000107380961
Linux,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593878672173087,"{""city"":""Cedar Rapids"",""state"":""IA""}",[],google,1593878672173087,UA000000107377487
macOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593876429415452,"{""city"":""Phoenix"",""state"":""AZ""}",[],google,1593876429415452,UA000000107357350
iOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",mattresses,null,1593876687337581,"{""city"":""Warwick"",""state"":""RI""}",[],google,1593876687337581,UA000000107359573
macOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",premium,1593877223736871,1593877973962436,"{""city"":""Everett"",""state"":""WA""}",[],instagram,1593877223736871,UA000000107364368
Windows,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",reviews,1593876442432487,1593876944661570,"{""city"":""Concord"",""state"":""CA""}",[],direct,1593876442432487,UA000000107357467
iOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",original,1593877781854634,1593877788141768,"{""city"":""Dunwoody"",""state"":""GA""}",[],google,1593877781854634,UA000000107369512
iOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,1593877445670953,1593877497207417,"{""city"":""Rochester"",""state"":""MN""}",[],facebook,1593877300577217,UA000000107365065
Android,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593877271099453,"{""city"":""Raleigh"",""state"":""NC""}",[],direct,1593877271099453,UA000000107364813
iOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",reviews,1593878353149193,1593878356880855,"{""city"":""Los Angeles"",""state"":""CA""}",[],facebook,1593878353149193,UA000000107374663
Android,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593879239050626,"{""city"":""New York"",""state"":""NY""}",[],direct,1593879239050626,UA000000107382638
Windows,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",mattresses,null,1593877608354608,"{""city"":""Chicago"",""state"":""IL""}",[],google,1593877608354608,UA000000107367922
Android,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",cart,1593878887634182,1593878899159806,"{""city"":""Fayetteville"",""state"":""AR""}","[{""coupon"":null,""item_id"":""M_STAN_F"",""item_name"":""Standard Full Mattress"",""item_revenue_in_usd"":945,""price_in_usd"":945,""quantity"":1}]",google,1593877484784180,UA000000107366779
Windows,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",cart,1593878838199623,1593879003979444,"{""city"":""Topeka"",""state"":""KS""}","[{""coupon"":null,""item_id"":""M_PREM_T"",""item_name"":""Premium Twin Mattress"",""item_revenue_in_usd"":1095,""price_in_usd"":1095,""quantity"":1}]",direct,1593878302525160,UA000000107374215
macOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593879039209043,"{""city"":""Newark"",""state"":""CA""}",[],direct,1593879039209043,UA000000107380780
iOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593876687186216,"{""city"":""Battle Creek"",""state"":""MI""}",[],facebook,1593876687186216,UA000000107359571
macOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",faq,1593878537597094,1593878984168461,"{""city"":""El Paso"",""state"":""TX""}",[],direct,1593878537597094,UA000000107376278
macOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",mattresses,null,1593877076686136,"{""city"":""Sandy Springs"",""state"":""GA""}",[],facebook,1593877076686136,UA000000107363006
iOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593876831949693,"{""city"":""Greeley"",""state"":""CO""}",[],google,1593876831949693,UA000000107360852
Windows,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",pillows,null,1593879086932085,"{""city"":""Richland"",""state"":""WA""}",[],instagram,1593879086932085,UA000000107381241
macOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593878642524459,"{""city"":""Camden"",""state"":""SC""}",[],facebook,1593878642524459,UA000000107377238
Linux,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593877977050669,"{""city"":""Fairfield"",""state"":""CA""}",[],instagram,1593877977050669,UA000000107371192
Windows,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",pillows,null,1593877512951677,"{""city"":""Jacksonville"",""state"":""NC""}",[],direct,1593877512951677,UA000000107367048
Windows,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",mattresses,null,1593878914256162,"{""city"":""San Angelo"",""state"":""TX""}",[],google,1593878914256162,UA000000107379637
Android,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",warranty,1593877962951723,1593878620744974,"{""city"":""North Canton"",""state"":""OH""}",[],instagram,1593877962951723,UA000000107371070
Windows,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",pillows,null,1593878751138630,"{""city"":""Salem"",""state"":""MA""}",[],google,1593878751138630,UA000000107378173
iOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",foam,1593878204104266,1593878206468778,"{""city"":""Bloomington"",""state"":""MN""}",[],direct,1593878204104266,UA000000107373270
Windows,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593878429326706,"{""city"":""Grinnell"",""state"":""IA""}",[],google,1593878429326706,UA000000107375316
Android,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",checkout,1593879068779767,1593879230950221,"{""city"":""Philadelphia"",""state"":""PA""}","[{""coupon"":null,""item_id"":""M_STAN_K"",""item_name"":""Standard King Mattress"",""item_revenue_in_usd"":1195,""price_in_usd"":1195,""quantity"":1}]",facebook,1593878282510044,UA000000107374020
Android,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",mattresses,null,1593876443386829,"{""city"":""Richmond"",""state"":""KY""}",[],google,1593876443386829,UA000000107357480
Chrome OS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",warranty,1593877262681814,1593878823421232,"{""city"":""Cloquet"",""state"":""MN""}",[],google,1593877260377006,UA000000107364704
Windows,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593877041350735,"{""city"":""Albany"",""state"":""NY""}",[],google,1593877041350735,UA000000107362707
Android,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",mattresses,1593878139892679,1593879240812006,"{""city"":""Portland"",""state"":""OR""}",[],facebook,1593878139892679,UA000000107372672
Chrome OS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593878466349935,"{""city"":""Naperville"",""state"":""IL""}",[],facebook,1593878466349935,UA000000107375642
macOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",pillows,null,1593879057039250,"{""city"":""Dallas"",""state"":""TX""}",[],direct,1593879057039250,UA000000107380952
macOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",original,1593877933738325,1593878472750958,"{""city"":""Moreno Valley"",""state"":""CA""}",[],google,1593877933738325,UA000000107370829
macOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",cart,1593877089254852,1593877376501740,"{""city"":""Dallas"",""state"":""TX""}","[{""coupon"":null,""item_id"":""M_STAN_K"",""item_name"":""Standard King Mattress"",""item_revenue_in_usd"":1195,""price_in_usd"":1195,""quantity"":1}]",youtube,1593876928163485,UA000000107361649
Windows,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593878661450140,"{""city"":""Milledgeville"",""state"":""GA""}",[],email,1593878661450140,UA000000107377392
Linux,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",add_item,1593877045351670,1593878675942469,"{""city"":""Seattle"",""state"":""WA""}","[{""coupon"":null,""item_id"":""M_STAN_Q"",""item_name"":""Standard Queen Mattress"",""item_revenue_in_usd"":1045,""price_in_usd"":1045,""quantity"":1}]",google,1593876761651018,UA000000107360196
macOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",original,1593877104343794,1593877134114884,"{""city"":""Norwalk"",""state"":""CT""}",[],facebook,1593877104343794,UA000000107363249
Windows,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",careers,null,1593878120615516,"{""city"":""Lynwood"",""state"":""CA""}",[],google,1593878120615516,UA000000107372505
Android,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",warranty,1593876568777492,1593878762928254,"{""city"":""San Diego"",""state"":""CA""}",[],email,1593876568777492,UA000000107358569
Windows,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",delivery,1593878833730809,1593878852225498,"{""city"":""New York"",""state"":""NY""}",[],youtube,1593878833730809,UA000000107378924
macOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",mattresses,null,1593879062248629,"{""city"":""Davis"",""state"":""CA""}",[],facebook,1593879062248629,UA000000107380991
iOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593876967068480,"{""city"":""Fresno"",""state"":""CA""}",[],google,1593876967068480,UA000000107361989
macOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593876568876937,"{""city"":""Palmyra"",""state"":""MO""}",[],facebook,1593876568876937,UA000000107358571
Linux,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",press,1593877560200797,1593877572231604,"{""city"":""Fitchburg"",""state"":""MA""}",[],email,1593877441762928,UA000000107366349
Android,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",original,1593878473561670,1593878535553523,"{""city"":""Chicago"",""state"":""IL""}",[],google,1593877936278608,UA000000107370853
Chrome OS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593878981312640,"{""city"":""Bridgeton"",""state"":""NJ""}",[],google,1593878981312640,UA000000107380222
Android,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",mattresses,1593877715559380,1593877756506929,"{""city"":""Benicia"",""state"":""CA""}",[],google,1593877707976765,UA000000107368830
Android,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",add_item,1593879005037778,1593879138472812,"{""city"":""Lake Forest"",""state"":""CA""}","[{""coupon"":null,""item_id"":""M_STAN_K"",""item_name"":""Standard King Mattress"",""item_revenue_in_usd"":1195,""price_in_usd"":1195,""quantity"":1}]",direct,1593879005037778,UA000000107380441
iOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593877868268844,"{""city"":""Hollywood"",""state"":""FL""}",[],instagram,1593877868268844,UA000000107370279
iOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593878487566059,"{""city"":""Laurens"",""state"":""SC""}",[],instagram,1593878487566059,UA000000107375824
Windows,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",warranty,1593877804819270,1593877853146507,"{""city"":""Bridgeton"",""state"":""NJ""}",[],facebook,1593877804819270,UA000000107369710
Windows,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593878946329881,"{""city"":""Los Angeles"",""state"":""CA""}",[],google,1593878946329881,UA000000107379918
Android,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",cart,1593878450150430,1593878826433752,"{""city"":""Hinesville"",""state"":""GA""}","[{""coupon"":null,""item_id"":""M_PREM_T"",""item_name"":""Premium Twin Mattress"",""item_revenue_in_usd"":1095,""price_in_usd"":1095,""quantity"":1},{""coupon"":null,""item_id"":""P_FOAM_K"",""item_name"":""King Foam Pillow"",""item_revenue_in_usd"":79,""price_in_usd"":79,""quantity"":1}]",youtube,1593876964622338,UA000000107361970
Chrome OS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593876424543297,"{""city"":""Egg Harbor City"",""state"":""NJ""}",[],facebook,1593876424543297,UA000000107357319
Windows,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593876685393627,"{""city"":""Loveland"",""state"":""CO""}",[],google,1593876685393627,UA000000107359552
iOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",register,1593878974036647,1593879116208649,"{""city"":""Bellevue"",""state"":""WA""}","[{""coupon"":null,""item_id"":""M_STAN_F"",""item_name"":""Standard Full Mattress"",""item_revenue_in_usd"":945,""price_in_usd"":945,""quantity"":1}]",direct,1593877662034756,UA000000107368410
macOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",checkout,1593877849522918,1593877871752279,"{""city"":""Sun Prairie"",""state"":""WI""}","[{""coupon"":null,""item_id"":""M_STAN_K"",""item_name"":""Standard King Mattress"",""item_revenue_in_usd"":1195,""price_in_usd"":1195,""quantity"":1}]",facebook,1593877754145339,UA000000107369252
Windows,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593878639879302,"{""city"":""Las Vegas"",""state"":""NV""}",[],google,1593878639879302,UA000000107377217
Android,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",reviews,1593879206755491,1593879288072307,"{""city"":""Jacksonville"",""state"":""FL""}",[],youtube,1593879194578400,UA000000107382225
iOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",press,1593878534786078,1593878587026765,"{""city"":""Phoenix"",""state"":""AZ""}",[],youtube,1593878015339080,UA000000107371554
macOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",pillows,null,1593876430929937,"{""city"":""Philadelphia"",""state"":""PA""}",[],google,1593876430929937,UA000000107357359
Chrome OS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",original,1593876945131602,1593876953877757,"{""city"":""San Francisco"",""state"":""CA""}",[],google,1593876945131602,UA000000107361812
macOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",add_item,1593878747637640,1593878872298444,"{""city"":""Spokane"",""state"":""WA""}","[{""coupon"":null,""item_id"":""M_STAN_Q"",""item_name"":""Standard Queen Mattress"",""item_revenue_in_usd"":1045,""price_in_usd"":1045,""quantity"":1}]",google,1593878713478017,UA000000107377843
Android,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",premium,1593876536742117,1593877636821563,"{""city"":""Rochester"",""state"":""NY""}",[],google,1593876536742117,UA000000107358307
Linux,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",mattresses,null,1593878300547273,"{""city"":""Round Rock"",""state"":""TX""}",[],google,1593878300547273,UA000000107374194
macOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",pillows,null,1593877254607024,"{""city"":""El Monte"",""state"":""CA""}",[],email,1593877254607024,UA000000107364642
macOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593877653737078,"{""city"":""Aurora"",""state"":""CO""}",[],facebook,1593877653737078,UA000000107368326
Windows,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593876743752307,"{""city"":""Brownsville"",""state"":""TX""}",[],instagram,1593876743752307,UA000000107360046
Chrome OS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",add_item,1593878371393415,1593878426477352,"{""city"":""Phoenix"",""state"":""AZ""}","[{""coupon"":null,""item_id"":""M_STAN_K"",""item_name"":""Standard King Mattress"",""item_revenue_in_usd"":1195,""price_in_usd"":1195,""quantity"":1}]",google,1593876947217704,UA000000107361826
iOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",original,1593877166763307,1593878502578669,"{""city"":""Riverton"",""state"":""UT""}",[],youtube,1593877166763307,UA000000107363816
iOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593877910000855,"{""city"":""Santa Monica"",""state"":""CA""}",[],facebook,1593877910000855,UA000000107370641
Android,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",premium,1593878561728298,1593878582714214,"{""city"":""Plymouth"",""state"":""MN""}",[],google,1593878561728298,UA000000107376495
Android,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",guest,1593878510582920,1593878513487688,"{""city"":""Waupun"",""state"":""WI""}","[{""coupon"":null,""item_id"":""M_STAN_K"",""item_name"":""Standard King Mattress"",""item_revenue_in_usd"":1195,""price_in_usd"":1195,""quantity"":1}]",google,1593878083318605,UA000000107372186
Android,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593877367598015,"{""city"":""Waukegan"",""state"":""IL""}",[],facebook,1593877367598015,UA000000107365658
iOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",original,1593876776911880,1593877512540418,"{""city"":""Old Town"",""state"":""ME""}",[],direct,1593876776911880,UA000000107360336
Android,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593878005107999,"{""city"":""Washington"",""state"":""DC""}",[],email,1593878005107999,UA000000107371458
macOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",delivery,1593876841371701,1593877115635446,"{""city"":""St. Marys"",""state"":""PA""}",[],facebook,1593876703337838,UA000000107359727
Windows,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593878994662664,"{""city"":""New York"",""state"":""NY""}",[],google,1593878994662664,UA000000107380353
iOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",warranty,1593877040497777,1593877074207040,"{""city"":""Orem"",""state"":""UT""}",[],google,1593877040497777,UA000000107362695
Android,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",pillows,null,1593878250659781,"{""city"":""Chicago"",""state"":""IL""}",[],direct,1593878250659781,UA000000107373722
iOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",warranty,1593879199682554,1593879264007338,"{""city"":""Miami"",""state"":""FL""}",[],instagram,1593879199682554,UA000000107382278
iOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593879094573756,"{""city"":""Bottineau"",""state"":""ND""}",[],google,1593879094573756,UA000000107381321
Windows,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593878435584750,"{""city"":""Weymouth Town"",""state"":""MA""}",[],google,1593878435584750,UA000000107375378
Windows,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",premium,1593878907585237,1593878953436780,"{""city"":""Berkeley"",""state"":""CA""}",[],youtube,1593878753551617,UA000000107378202
macOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593879021733084,"{""city"":""Walled Lake"",""state"":""MI""}",[],google,1593879021733084,UA000000107380610
Windows,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",pillows,1593876510337611,1593876568939194,"{""city"":""Los Angeles"",""state"":""CA""}",[],youtube,1593876510337611,UA000000107358069
macOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593876801153024,"{""city"":""Philadelphia"",""state"":""PA""}",[],google,1593876801153024,UA000000107360551
iOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593877582388423,"{""city"":""Phoenix"",""state"":""AZ""}",[],google,1593877582388423,UA000000107367705
Android,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",reviews,1593877961521452,1593878469539923,"{""city"":""King City"",""state"":""CA""}",[],email,1593877961521452,UA000000107371057
Android,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593877611097589,"{""city"":""Piqua"",""state"":""OH""}",[],facebook,1593877611097589,UA000000107367938
Linux,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",warranty,1593878275065809,1593878526307023,"{""city"":""San Jose"",""state"":""CA""}",[],instagram,1593878275065809,UA000000107373956
Android,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593877614480899,"{""city"":""Delray Beach"",""state"":""FL""}",[],google,1593877614480899,UA000000107367963
Android,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",mattresses,null,1593878371068451,"{""city"":""Oakland"",""state"":""CA""}",[],google,1593878371068451,UA000000107374820
macOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",delivery,1593878699516361,1593878886308654,"{""city"":""New York"",""state"":""NY""}",[],google,1593878441986234,UA000000107375426
macOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593876737171051,"{""city"":""Jersey City"",""state"":""NJ""}",[],google,1593876737171051,UA000000107359991
Android,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593878751455102,"{""city"":""Murphy"",""state"":""TX""}",[],email,1593878751455102,UA000000107378178
Android,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593878790530550,"{""city"":""Calumet City"",""state"":""IL""}",[],instagram,1593878790530550,UA000000107378521
macOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593877477145334,"{""city"":""Bellevue"",""state"":""WA""}",[],facebook,1593877477145334,UA000000107366709
Windows,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593879077356098,"{""city"":""Riverside"",""state"":""CA""}",[],direct,1593879077356098,UA000000107381140
macOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",guest,1593879068645602,1593879174364993,"{""city"":""Los Angeles"",""state"":""CA""}","[{""coupon"":null,""item_id"":""M_STAN_Q"",""item_name"":""Standard Queen Mattress"",""item_revenue_in_usd"":1045,""price_in_usd"":1045,""quantity"":1}]",google,1593878486475831,UA000000107375805
Linux,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",careers,null,1593877752659965,"{""city"":""Brookhaven"",""state"":""GA""}",[],instagram,1593877752659965,UA000000107369237
Windows,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",add_item,1593877190105860,1593877202786162,"{""city"":""Los Angeles"",""state"":""CA""}","[{""coupon"":null,""item_id"":""M_STAN_F"",""item_name"":""Standard Full Mattress"",""item_revenue_in_usd"":945,""price_in_usd"":945,""quantity"":1}]",youtube,1593876947388608,UA000000107361827
macOS,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",cart,1593877122323165,1593877878043590,"{""city"":""Reading"",""state"":""PA""}","[{""coupon"":null,""item_id"":""M_PREM_T"",""item_name"":""Premium Twin Mattress"",""item_revenue_in_usd"":1095,""price_in_usd"":1095,""quantity"":1}]",direct,1593877119645670,UA000000107363382
Android,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593879260210508,"{""city"":""New York"",""state"":""NY""}",[],facebook,1593879260210508,UA000000107382864
Android,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",main,null,1593876813143800,"{""city"":""California City"",""state"":""CA""}",[],email,1593876813143800,UA000000107360669
Android,"{""purchase_revenue_in_usd"":null,""total_item_quantity"":null,""unique_items"":null}",email_coupon,1593876512164338,1593876823191395,"{""city"":""Long Beach"",""state"":""CA""}",[],direct,1593876512164338,UA000000107358089
